"tournament_name","tournament_logo","tournament_start","tournament_end"
"Nature Valley Classic","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/nature_valley_birmingham_0_0.jpg","Jun 17","Jun 23, 2019"
"Mallorca Open - Mallorca, Spain","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/mallorca_0_0.jpg","Jun 17","Jun 23, 2019"
"Nature Valley International - Eastbourne, Great Britain","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/nature_valley_eastbourne_1.jpg","Jun 23","Jun 29, 2019"
"The Championships - Wimbledon, Great Britain","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/wimbledon_0_0.jpg","Jul 1","Jul 13, 2019"
"Bucharest Open - Bucharest, Romania","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/bucharest_0_0.jpg","Jul 15","Jul 21, 2019"
"Ladies Championship Gstaad by IxionServices - Gstaad, Switzerland","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/gstaad_0_0.jpg","Jul 15","Jul 21, 2019"
"Palermo Ladies Open - Palermo, Italy","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/palermo.jpg","Jul 22","Jul 28, 2019"
"Moscow River Cup - Moscow, Russia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/moscow_international_0_0.jpg","Jul 22","Jul 28, 2019"
"Mubadala Silicon Valley Classic - San Jose, CA, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/san_jose_0.jpg","Jul 29","Aug 4, 2019"
"Citi Open - Washington DC, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/washingtondc_0_0.jpg","Jul 29","Aug 4, 2019"
"Coupe Rogers présentée par Banque Nationale - Toronto, Canada","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/montreal_0.jpg","Aug 5","Aug 11, 2019"
"Western & Southern Open - Cincinnati, OH, USA","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/cincinnati_0_0.jpg","Aug 12","Aug 18, 2019"
"Connecticut Open Tennis - New Haven, CT, United States","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/new_haven_0_0.jpg","Aug 18","Aug 24, 2019"
"2019 US OPEN TENNIS CHAMPIONSHIPS - Flushing Meadows, NY, United States","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/usopen_1_0.jpg","Aug 26","Sep 7, 2019"
"Oracle Challenger Series - Chicago, IL, United States","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/chicago_0.jpg","Sep 2","Sep 8, 2019"
"Jiangxi Open - Nanchang, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/nanchang_0_0_0.jpg","Sep 9","Sep 15, 2019"
"Coupe Banque Nationale - Quebec City, Canada","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/quebeccity_0_0.jpg","Sep 9","Sep 15, 2019"
"Hana-cupid Japan Women's Open - Hiroshima, Japan","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/hiroshima-01_0.jpg","Sep 9","Sep 15, 2019"
"Korea Open - Seoul, Korea","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/seoul_0_0_0.jpg","Sep 16","Sep 22, 2019"
"Toray Pan Pacific Open Tennis Tournament - Tokyo, Japan","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/tokyopremier_0_0.jpg","Sep 16","Sep 22, 2019"
"Guangzhou Open - Guangzhou, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/guangzhou_0_0.jpg","Sep 16","Sep 21, 2019"
"Wuhan Open - Wuhan, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/wuhan_2.jpg","Sep 22","Sep 28, 2019"
"Tashkent Open - Tashkent, Uzbekistan","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/tashkent_1.jpg","Sep 23","Sep 28, 2019"
"China Open - Beijing, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/beijing_0_0.jpg","Sep 28","Oct 6, 2019"
"Prudential Hong Kong Tennis Open - Hong Kong, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/hongkong_0_0.jpg","Oct 7","Oct 13, 2019"
"Upper Austria Ladies Linz - Linz, Austria","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/linz_3.jpg","Oct 7","Oct 13, 2019"
"Tianjin Open - Tianjin, China","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/tianjin5_0.jpg","Oct 7","Oct 13, 2019"
"BGL BNP Paribas Luxembourg Open - Luxembourg, Luxembourg","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/luxembourg_0_0.jpg","Oct 14","Oct 20, 2019"
"VTB Kremlin Cup - Moscow, Russia","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/moscow_1_0.jpg","Oct 14","Oct 20, 2019"
"WTA Elite Trophy Zhuhai","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/zhuhai_0_1_0.jpg","Oct 22","Oct 27, 2019"
"WTA Finals Shenzhen","http://www.wtatennis.com/sites/default/files/styles/luxbox_scale__w_400_/public/wta_0.jpg","Oct 27","Nov 3, 2019"
